movie_id,actor
tt0102926,Anthony Hopkins
tt0102926,Roger Corman
tt0102926,Jonathan Demme
tt0120815,Ted Danson
tt0120815,Daniel Cerqueira
tt0120815,Giovanni Ribisi
tt0120815,Edgar De Lange
tt0120815,Ian Porter
tt0120815,Jeremy Davies
tt0120815,Tom Sizemore
tt0120815,Tom Hanks
tt0120815,Robert Rodat
tt0120815,Dylan Bruno
tt0120815,Edward Burns
tt0120815,Max Martini
tt0120815,Paul Giamatti
tt0120815,Private Ryan
tt0120815,Adam Goldberg
tt0120815,Dennis Farina
tt0120815,Irving Mills
tt0120815,Vin Diesel
tt0120815,Barry Pepper
tt0120815,Captain Miller
tt0120815,Matt Damon
tt0120815,Joerg Stadler
tt0120815,Duke Ellington
tt0120815,Demetri Goritsas
tt0120815,Steven Spielberg
tt0317248,Emerson Gomes
tt0317248,Darlan Cunha
tt0317248,Graziella Moretto
tt0317248,Leandro Firmino
tt0317248,Edson Oliveira
tt0317248,Hermínio Bello de Carvalho
tt0317248,Alice Braga
tt0317248,Michel Gomes
tt0317248,Douglas Silva
tt0317248,Jonathan Haagensen
tt0317248,Bráulio Mantovani
tt0317248,Cartola
tt0317248,Kátia Lund
tt0317248,Alexandre Rodrigues
tt0317248,Robson Rocha
tt0317248,Jefechander Suplino
tt0317248,Matheus Nachtergaele
tt0317248,Gustavo Engrácia
tt0317248,Phellipe Haagensen
tt0317248,Kiko Marques
tt0317248,Paulo Lins
tt0317248,Luis Otávio
tt0317248,Roberta Rodrigues
tt0317248,Buscapé
tt0317248,Fernando Meirelles
tt0317248,Seu Jorge
tt0317248,Carlos Cachaça
tt0120689,Michael Clarke Duncan
tt0120689,Stephen King
tt0120689,Frank Darabont
tt0120689,Tom Hanks
tt0120689,James Cromwell
tt0120689,William Sadler
tt0120689,Eve Brent
tt0120689,Lew Pollack
tt0120689,Graham Greene
tt0120689,Michael Jeter
tt0120689,Mack Miles
tt0120689,Jeffrey DeMunn
tt0120689,Sam Rockwell
tt0120689,Dabbs Greer
tt0120689,Doug Hutchison
tt0120689,David Morse
tt0120689,Rai Tasco
tt0120689,Erno Rapee
tt0120689,Patricia Clarkson
tt0120689,Barry Pepper
tt0120689,Mantovani
tt0120689,Old Paul Edgecomb
tt0120689,Bonnie Hunt
tt0120689,Harry Dean Stanton
tt0120689,Ronald Binge
tt0118799,Giuseppe Gabetti
tt0118799,Gil Baroni
tt0118799,Vincenzo Cerami
tt0118799,Jürgen Bohn
tt0118799,Nicoletta Braschi
tt0118799,Giuliana Lojodice
tt0118799,Pietro De Silva
tt0118799,Amerigo Fontani
tt0118799,Roberto Benigni
tt0118799,Guido
tt0118799,Horst Buchholz
tt0118799,Giorgio Cantarini
tt0118799,Sergio Bini Bustric
tt0118799,Francesco Guzzo
tt0118799,Verena Buratti
tt0118799,Lidia Alfonsi
tt0118799,Marisa Paredes
tt0118799,Claudio Alfonsi
tt0118799,Giustino Durano
tt0118799,Raffaella Lebboroni
tt0118799,Massimo Bianchi
tt0103064,James Cameron
tt0103064,Izzy Stradlin
tt0103064,Axl Rose
tt0103064,Edward Furlong
tt0103064,Robert Winley
tt0103064,Castulo Guerra
tt0103064,S. Epatha Merkerson
tt0103064,Michael Edwards
tt0103064,Jenette Goldstein
tt0103064,Jared Lounsbery
tt0103064,Robert Patrick
tt0103064,Shane Wilder
tt0103064,Ken Gibbel
tt0103064,Pete Schrum
tt0103064,Leslie Hamilton Gearren
tt0103064,Guns N' Roses
tt0103064,Joe Morton
tt0103064,Arnold Schwarzenegger
tt0103064,Earl Boen
tt0103064,Xander Berkeley
tt0103064,The Terminator
tt0103064,William Wisher
tt0103064,Linda Hamilton
tt0103064,Danny Cooksey
tt0076759,Garrick Hagon
tt0076759,Kenny Baker
tt0076759,Drewe Henley
tt0076759,Carrie Fisher
tt0076759,Han Solo
tt0076759,Denis Lawson
tt0076759,Harrison Ford
tt0076759,Shelagh Fraser
tt0076759,Alec Guinness
tt0076759,Peter Mayhew
tt0076759,Alex McCrindle
tt0076759,George Lucas
tt0076759,Anthony Daniels
tt0076759,Phil Brown
tt0076759,Mark Hamill
tt0076759,David Prowse
tt0076759,Eddie Byrne
tt0076759,Peter Cushing
tt0076759,Steven Spielberg
tt0076759,Jack Purvis
tt0076759,Jack Klaff
tt0088763,Huey Lewis
tt0088763,Huey Lewis & The News
tt0088763,James Tolkan
tt0088763,Chris Hayes
tt0088763,Eric Stoltz
tt0088763,Casey Siemaszko
tt0088763,Bob Gale
tt0088763,Lea Thompson
tt0088763,Johnny Colla
tt0088763,Crispin Glover
tt0088763,Christopher Lloyd
tt0088763,Marc McClure
tt0088763,J.J. Cohen
tt0088763,Marty McFly
tt0088763,Lisa Freeman
tt0088763,Harry Waters Jr.
tt0088763,Cristen Kauffman
tt0088763,Claudia Wells
tt0088763,Billy Zane
tt0088763,Michael J. Fox
tt0088763,Tom Wilson
tt0088763,Wendie Jo Sperber
tt0088763,George DiCenzo
tt0088763,Donald Fullilove
tt0088763,Robert Zemeckis
tt0088763,Frances Lee McCain
tt0088763,Dr. Emmett Brown
tt0245429,Zeniba
tt0245429,Yasuko Sawaguchi
tt0245429,Takehiko Ono
tt0245429,Shigeru Wakita
tt0245429,Yô Ôizumi
tt0245429,Hayao Miyazaki
tt0245429,Bunta Sugawara
tt0245429,Yumi Tamai
tt0245429,Miyu Irino
tt0245429,Koba Hayashi
tt0245429,Suzanne Pleshette
tt0245429,Ryunosuke Kamiki
tt0245429,Michiko Yamamoto
tt0245429,Rumi Hiiragi
tt0245429,Takashi Naitô
tt0245429,Tsunehiko Kamijô
tt0245429,Tatsuya Gashûin
tt0245429,Mari Natsuki
tt0245429,Joe Hisaishi
tt0245429,Shirô Saitô
tt0245429,Daveigh Chase
tt0253474,Joachim Paul Assböck
tt0253474,Roddy Skeaping
tt0253474,Wanja Mues
tt0253474,Henryk Szpilman
tt0253474,Ed Stoppard
tt0253474,Thomas Lawinky
tt0253474,Ronald Harwood
tt0253474,Lucy Skeaping
tt0253474,Thomas Kretschmann
tt0253474,Nomi Sharron
tt0253474,Adrien Brody
tt0253474,Richard Ridings
tt0253474,Wladyslaw Szpilman
tt0253474,Maureen Lipman
tt0253474,Jessica Kate Meyer
tt0253474,Anthony Milner
tt0253474,Frank Finlay
tt0253474,Ben Harlan
tt0253474,Roman Polanski
tt0253474,Michal Zebrowski
tt0253474,Emilia Fox
tt0253474,Julia Rayner
tt0253474,Frédéric Chopin
tt6751668,Hwang In-kyung
tt6751668,Ki-taek
tt6751668,Jung Hyun-jun
tt6751668,Lee Sun-kyun
tt6751668,Lee Jeong-eun
tt6751668,Jung Ik-han
tt6751668,Jang Hye-jin
tt6751668,Park Myeong-hoon
tt6751668,Park So-dam
tt6751668,Bong Joon Ho
tt6751668,Kim Jin-hyung
tt6751668,Song Kang-ho
tt6751668,Choi Woo-sik
tt6751668,Park Keun-rok
tt6751668,Jung Ji-so
tt6751668,Ahn Seong-bong
tt6751668,Kim Kyu-baek
tt6751668,Jo Jae-myeong
tt6751668,George Frideric Handel
tt6751668,Han Jin-won
tt6751668,Jung Yi-seo
tt6751668,Cho Yeo-jeong
tt0172495,Sven-Ole Thorsen
tt0172495,Richard Harris
tt0172495,Maximus
tt0172495,Tomas Arana
tt0172495,Connie Nielsen
tt0172495,Nathalie Van Ravenstein
tt0172495,David Franzoni
tt0172495,Chris Kell
tt0172495,William Nicholson
tt0172495,Tommy Flanagan
tt0172495,Joaquin Phoenix
tt0172495,David Schofield
tt0172495,Spencer Treat Clark
tt0172495,Djimon Hounsou
tt0172495,Nicholas McGaughey
tt0172495,Walter Maioli
tt0172495,Omid Djalili
tt0172495,Oliver Reed
tt0172495,Synaulia
tt0172495,John Shrapnel
tt0172495,David Hemmings
tt0172495,Ridley Scott
tt0172495,John Logan
tt0172495,Derek Jacobi
tt0172495,Ralf Moeller
tt0172495,Russell Crowe
tt0054215,Walter Bacon
tt0054215,Patricia Hitchcock
tt0054215,Simon Oakland
tt0054215,Mort Mills
tt0054215,Alfred Hitchcock
tt0054215,Vera Miles
tt0054215,Janet Leigh
tt0054215,John McIntire
tt0054215,Robert Bloch
tt0054215,Fletcher Allen
tt0054215,Bernard Herrmann
tt0054215,John Gavin
tt0054215,Frank Albertson
tt0054215,Vaughn Taylor
tt0054215,Anthony Perkins
tt0054215,Prudence Beers
tt0054215,Norma Bates
tt0054215,John Anderson
tt0054215,Lurene Tuttle
tt0054215,Kit Carson
tt0054215,Martin Balsam
tt0054215,Joseph Stefano
tt0054215,Johnny Clark
tt0110357,Matoab'sane Jali
tt0110357,Nathan Lane
tt0110357,Yvonne Williams
tt0110357,Madge Sinclair
tt0110357,Kipizane Skweyiya
tt0110357,Bheki Ndlovu
tt0110357,Nini Nkosi
tt0110357,Johnny Britt
tt0110357,Rick Charles
tt0110357,Tim Rice
tt0110357,Khuluiwe Sithole
tt0110357,Maxine Waters Willard
tt0110357,Zoe Leader
tt0110357,Nandi Ndlovu
tt0110357,Happy Skhakhane
tt0110357,Stella Khumalo
tt0110357,Skhumbuzo Kubheka
tt0110357,Julia Waters
tt0110357,Whoopi Goldberg
tt0110357,Cathy Cavadini
tt0110357,Lucky Cele
tt0110357,Baby Cele
tt0110357,Rob Minkoff
tt0110357,Wendy Fraser
tt0110357,Rick Riso
tt0110357,Myrna Matthews
tt0110357,Linda Woolverton
tt0110357,Rick Logan
tt0110357,Kevin Dorsey
tt0110357,Frank Welker
tt0110357,Vusi Mhlongo
tt0110357,Thandazile
tt0110357,Clydene Jackson
tt0110357,Khanyo Maphumulo
